2017.09.28 14:07:33 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@2067f62f [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@12903e63 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@7d363023 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@43c22ef4 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@77057e74 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@782f340d [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@68872d41 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@3fa101a [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2017.09.28 14:07:33 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2017.09.28 14:07:33 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] ...
2017.09.28 14:07:36 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] done | time=2263ms
2017.09.28 14:07:36 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/ruleExtension] ...
2017.09.28 14:07:39 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/ruleExtension] done | time=3266ms
2017.09.28 14:07:39 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2017.09.28 14:07:40 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=1069ms
2017.09.28 14:07:40 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] ...
2017.09.28 14:07:40 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] done | time=577ms
2017.09.28 14:07:40 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2017.09.28 14:07:41 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=428ms
2017.09.28 14:07:41 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] ...
2017.09.28 14:07:42 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] done | time=645ms
2017.09.28 14:07:42 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[projectmeasures/authorization],[issues/authorization] ...
2017.09.28 14:07:43 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[projectmeasures/authorization],[issues/authorization] done | time=1474ms
2017.09.28 14:07:43 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] ...
2017.09.28 14:07:44 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] done | time=682ms
2017.09.28 14:07:44 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] ...
2017.09.28 14:07:44 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] done | time=381ms
2017.09.28 14:07:44 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2017.09.28 14:07:44 INFO  web[][o.s.s.p.Platform] WebServer is operational
2017.09.28 16:47:51 INFO  web[][o.s.p.StopWatcher] Stopping process
2017.09.28 16:47:51 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2017.09.28 16:47:51 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
